Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,,
2025,JBC36,046,Hirohata Merc,Rod SquadSuper Treasure Hunt,4/10,Picture,2025_Rod_SquadSuper_Treasure_Hunt_88.jpg,,,
2025,HYW98,047,Mazda REPU,HW J-Imports,2/5,Picture,2025_HW_J-Imports_89.jpg,,,
2025,HYW99,048,Subaru BRZ,HW J-ImportsNew in Mainline,3/5,Picture,2025_HW_J-ImportsNew_in_Mainline_90.jpg,,,
2025,HYY12,048,Subaru BRZ (2nd Color - Zamac),HW J-ImportsWalmart ExclusiveNew in Mainline,3/5,Picture,2025_HW_J-ImportsWalmart_ExclusiveN_91.jpg,,,
2025,JBB55,048,Subaru BRZ (3rd Color),HW J-ImportsNew in Mainline,3/5,Picture,2025_HW_J-ImportsNew_in_Mainline_92.jpg,,,
2025,HYX00,049,'22 Ford Maverick Custom,HW Modified,1/5,Picture,2025_HW_Modified_93.jpg,,,
2025,HYW16,050,'66 Buick Riviera,HW ModifiedNew for 2025!,2/5,Picture,2025_HW_ModifiedNew_for_2025!_94.jpg,,,
2025,JBB56,050,'66 Buick Riviera (2nd Color),HW ModifiedNew for 2025!,2/5,Picture,2025_HW_ModifiedNew_for_2025!_95.jpg,,,
2025,HYX01,051,'69 Corvette Racer,HW Celebration RacersValentine's Day,2/10,Picture,2025_HW_Celebration_RacersValentine_96.jpg,,,
2025,HYX02,052,Mercedes-Benz 500 E,HW: '70s vs. '90s,3/10,Picture,2025_HW:_'70s_vs._'90s_97.jpg,,,
2025,HYY43,052,Mercedes-Benz 500 E (2nd Color),Red EditionTarget Exclusive,6/12,Picture,2025_Red_EditionTarget_Exclusive_98.jpg,,,
2025,JBB60,052,Mercedes-Benz 500 E (3rd Color),HW: '70s vs. '90s,3/10,Picture,2025_HW:_'70s_vs._'90s_99.jpg,,,
2025,HYX03,053,'70 Chevy Camaro RS,HW: '70s vs. '90s,4/10,Picture,2025_HW:_'70s_vs._'90s_100.jpg,,,
2025,HYX04,054,Batman: Arkham Asylum Batmobile,Batman,2/5,Picture,2025_Batman_101.jpg,,,
